Name,Platforms,Release Date
The Escapists 2,Switch,1/11/2018
Forged Battalion,PC,1/16/2018
Kerbal Space Program: Enhanced Edition,"PS4, Xbox One",1/16/2018
Street Fighter V: Arcade Edition,"PS4, PC",1/16/2018
Digimon Story: Cyber Sleuth - Hacker's Memory,"PS4, Vita",1/19/2018
Kirby Battle Royale,3DS,1/19/2018
Iconoclasts,"PS4, Vita",1/23/2018
Lost Sphear,"PS4, Switch, PC",1/23/2018
OK KO: Let's Play Heroes,"PS4, Xbox One, PC",1/23/2018
The Inpatient,PSVR,1/23/2018
My Time at Portia,PC,1/23/2018
Velocity 2X: Critical Mass Edition,"PS4, Vita",1/23/2018
Celeste,"PS4, Switch, PC",1/25/2018
Dust and Salt,PC,1/25/2018
Dragon Ball FighterZ,"PS4, Xbox One, PC",1/26/2018
Monster Hunter World,"PS4, Xbox One",1/26/2018
Railway Empire,PC,1/26/2018
Dissidia: Final Fantasy NT,PS4,1/30/2018
Railway Empire,"PS4, Xbox One",1/30/2018
Batallion 1944,PC,2/1/2018
Final Fantasy XII: The Zodiac Age,PC,2/1/2018
Night in the Woods,Switch,2/1/2018
SteamWorld Dig,Switch,2/1/2018
EA Sports UFC 3,"PS4, Xbox One",2/2/2018
Shadow of the Colossus,PS4,2/6/2018
Civilization VI: Rise and Fall,PC,2/8/2018
Dragon Quest Builders,Switch,2/9/2018
The Seven Deadly Sins: Knights of Britannia,PS4,2/9/2018
Under Night In-Birth Exe: Late[st],"PS4, PS3, Vita",2/9/2018
Crossing Souls,"PS4, PC",2/13/2018
Dynasty Warriors 9,"PS4, Xbox One, PC",2/13/2018
The Fall 2: Unbound,"PS4, Xbox One, PC",2/13/2018
Kingdom Come: Deliverance,"PS4, Xbox One, PC",2/13/2018
Owlboy,Switch,2/13/2018
The Longest Five Minutes,"Switch, Vita, PC",2/13/2018
Monster Energy Supercross,"PS4, Xbox One, Switch, PC",2/13/2018
Radiant Historia: Perfect Chronology,3DS,2/13/2018
Secret of Mana,"PS4, PS Vita, PC",2/15/2018
Bayonetta & Bayonetta 2,Switch,2/16/2018
Fe,"PS4, Xbox One, Switch, PC",2/16/2018
Age of Empires: Definitive Edition,PC,2/20/2018
Metal Gear Survive,"PS4, Xbox One, PC",2/20/2018
Xenon Valkyrie+,Xbox One,2/20/2018
Pac-Man Championship Edition 2 Plus,Switch,2/22/2018
Stellaris: Apocalypse,PC,2/22/2018
Past Cure,"PS4, Xbox One, PC",2/23/2018
Sword Art Online: Fatal Bullet,"PS4, Xbox One, PC",2/23/2018
Yume Nikki: Dream Diary,PC,2/23/2018
Gravel,Xbox One,2/26/2018
De Blob 2,"PS4, Xbox One",2/27/2018
Immortal Redneck,Xbox One,2/27/2018
Payday 2,Switch,2/27/2018
Riftstar Raiders,Xbox One,2/27/2018
Bravo Team,PSVR,3/6/2018
Final Fantasy XV: Royal Edition,"PS4, Xbox One, PC",3/6/2018
Frantics,PS4,3/6/2018
Scribblenauts Showdown,"PS4, Xbox One, Switch",3/6/2018
Fear Effect Sedna,"PS4, Xbox One, PC, Switch",3/6/2018
Devil May Cry HD Collection,"PS4, Xbox One, PC",3/13/2018
Golem,PSVR,3/13/2018
Pure Farming 2018,"PS4, Xbox One, PC",3/13/2018
Burnout Paradise Remastered,"PS4, Xbox One, PC",3/13/2018
Kirby Star Allies,Switch,3/16/2018
Assassin's Creed Rogue: Remastered,"PS4, Xbox One",3/20/2018
Attack on Titan 2,"PS4, Xbox One, PC, Switch",3/20/2018
Sea of Thieves,"Xbox One, PC",3/20/2018
Titan Quest,"PS4, Xbox One",3/20/2018
A Way Out,"PS4, Xbox One, PC",3/23/2018
Detective Pikachu,3DS,3/23/2018
Ni no Kuni II: Revenant Kingdom,"PS4, PC",3/23/2018
Atelier Lydie & Suelle: The Alchemists and the Mysterious Paintings,"PS4, PC, Switch",3/27/2018
Far Cry 5,"PS4, Xbox One, PC",3/27/2018
MLB The Show 18,PS4,3/27/2018
Outlast 2,Switch,3/27/2018
Agony,"PS4, Xbox One, PC",3/30/2018
Extinction,"PS4, Xbox One, PC",4/10/2018
Owlboy,"PS4, Xbox One",4/10/2018
Hellblade: Senua's Sacrifice,Xbox One,4/11/2018
Wild Guns Reloaded,Switch,4/17/2018
Yakuza 6: The Song of Life,PS4,4/17/2018
Metal Max Xeno,"PS4, Vita",4/19/2018
God of War,PS4,4/20/2018
Nintendo Labo Variety Kit,Switch,4/20/2018
Nintendo Labo Robot Kit,Switch,4/20/2018
Frostpunk,PC,4/24/2018
South Park: The Fractured But Whole,Switch,4/24/2018
Super Mega Baseball 2,"PS4, Xbox One, PC",5/1/2018
Killing Floor: Incursion,PSVR,5/1/2018
Total War Saga: Thrones of Britannia,PC,5/3/2018
City of Brass,"PS4, Xbox One, PC",5/4/2018
Donkey Kong Country: Tropical Freeze,Switch,5/4/2018
AO International Tennis,"PS4, Xbox One, PC",5/8/2018
Conan Exiles,"PS4, Xbox One, PC",5/8/2018
Destiny 2: Warmind,"PS4, Xbox One, PC",5/8/2018
Pillars of Eternity II: Deadfire,PC,5/8/2018
Raging Justice,"Switch, PS4, Xbox One, PC",5/8/2018
Tacoma,PS4,5/8/2018
Immortal Redneck,Switch,5/10/2018
One Piece: Pirate Warriors 3,Switch,5/11/2018
"Warhammer 40,000: Inquisitor - Martyr","PS4, Xbox One, PC",5/11/2018
Battle Chasers: Nightwar,Switch,5/15/2018
Dragon's Crown Pro,PS4,5/15/2018
Horizon Chase Turbo,"PS4, PC",5/15/2018
Little Witch Academia: Chamber of Time,"PS4, PC",5/15/2018
Omensight,"PS4, PC",5/15/2018
Shin Megami Tensei: Strange Journey Redux,3DS,5/15/2018
Far: Lone Sails,PC,5/17/2018
Hyrule Warriors: Definitive Edition,Switch,5/18/2018
Little Nightmares: Complete Edition,Switch,5/18/2018
State of Decay 2 - Ultimate Edition,"Xbox One, PC",5/18/2018
Ancestors Legacy,"Xbox One, PC",5/22/2018
Mega Man Legacy Collection,Switch,5/22/2018
Mega Man Legacy Collection 2,Switch,5/22/2018
Runner3,"Switch, PC",5/22/2018
Space Hulk: Deathwing - Enhanced Edition,"PS4, PC",5/22/2018
State of Decay 2,"Xbox One, PC",5/22/2018
Tennis World Tour,"PS4, Xbox One, Switch, PC",5/22/2018
Dillon's Dead-Heat Breakers,3DS,5/24/2018
Dark Souls Remastered,"PS4, Xbox One, PC",5/25/2018
Detroit: Become Human,PS4,5/25/2018
Agony,"PS4, Xbox One, PC",5/29/2018
Everspace,PS4,5/29/2018
Legend of Kay Anniversary,Switch,5/29/2018
Sega Mega Drive Classics,"PS4, Xbox One",5/29/2018
Street Fighter 30th Anniversary Collection,"PS4, Xbox One, Switch, PC",5/29/2018
BlazBlue: Cross Tag Battle,"PS4, PC, Switch",6/5/2018
The Elder Scrolls Online: Summerset,"PS4, Xbox One, PC",6/5/2018
Onrush,"PS4, Xbox One",6/5/2018
Shaq Fu: A Legend Reborn,"PS4, Xbox One, Switch, PC",6/5/2018
Vampyr,"PS4, Xbox One, PC",6/5/2018
MotoGP 18,"PS4, Xbox One, PC",6/7/2018
Sushi Striker: The Way of Sushido,"Switch, 3DS",6/8/2018
Unravel Two,"PS4, Xbox One, PC",6/9/2018
Fallout Shelter,"PS4, Xbox One, PC, Switch",6/10/2018
Jurassic World Evolution,"PS4, Xbox One, PC",6/12/2018
Fortnite: Battle Royale,Switch,6/12/2018
Hollow Knight,Switch,6/12/2018
Moss - Physical Release,PS4,6/12/2018
Super Bomberman R,"PS4, Xbox One, PC",6/12/2018
LEGO The Incredibles,"Xbox One, PS4, Switch, PC",6/15/2018
The Lost Child,"PS4, PS Vita",6/19/2018
Mario Tennis Aces,Switch,6/22/2018
New Gundam Breaker,"PS4, PC",6/22/2018
The Awesome Adventures of Captain Spirit,"PS4, Xbox One, PC",6/26/2018
Crash Bandicoot N.Sane Trilogy,"Xbox One, PC, Switch",6/26/2018
De Blob Remastered,Switch,6/26/2018
Far Cry 3 Classic Edition,"PS4, Xbox One",6/26/2018
Lumines Remastered,"PS4, Xbox One, PC, Switch",6/26/2018
Nier: Automata Become As Gods Edition,Xbox One,6/26/2018
The Crew 2,"PS4, Xbox One, PC",6/29/2018
MXGP Pro,"PS4, Xbox One, PC",6/29/2018
Wolfenstein II: The New Colossus,Switch,6/29/2018
Jurassic World Evolution - Physical Release,"Xbox One, PS4, PC",7/3/2018
Red Faction: Guerrilla Remastered,"PS4, Xbox One, PC",7/3/2018
Mushroom Wars 2,Switch,7/5/2018
Shining Resonance Refrain,"PS4, Xbox One, PC, Switch",7/10/2018
Captain Toad: Treasure Tracker,"Switch, 3DS",7/13/2018
Earthfall,"PS4, Xbox One, PC",7/13/2018
Octopath Traveler,Switch,7/13/2018
Adventure Time: Pirates of the Enchiridion,"PS4, Xbox One, PC",7/17/2018
Sonic Mania Plus,"PS4, Xbox One, Switch, PC",7/17/2018
Mega Man X Collection 1+2,"PS4, Xbox One, Switch, PC",7/24/2018
No Man's Sky,Xbox One,7/24/2018
The Banner Saga 3,"PS4, Xbox One, Switch, PC, Mac",7/24/2018
Code of Princess EX,Switch,7/31/2018
Yakuza 0,PC,8/1/2018
WarioWare Gold,3DS,8/3/2018
Overcooked 2,"PS4, Xbox One, PC Switch",8/7/2018
Okami HD,Switch,8/9/2018
Madden NFL 19,"PS4, Sbox One, PC",8/10/2018
We Happy Few,"PS4, Xbox One, PC",8/10/2018
Death's Gambit,"PS4, PC",8/10/2018
The Walking Dead: The Final Season Episode 1,"PS4, Xbox One, PC",8/14/2018
World of Warcraft: Battle for Azeroth,PC,8/14/2018
F1 2018,"PS4, Xbox One, PC",8/24/2018
Little Dragons Cafe,"PS4, Switch",8/24/2018
Yakuza Kiwami 2,PS4,8/28/2018
Divinity: Original Sin 2,"PS4, Xbox One",8/31/2018
Naruto to Boruto: Shinobi Striker,"PS4, Xbox One, PC",8/31/2018
Destiny 2 Forsaken DLC,"PS4, Xbox One, PC",9/4/2018
Dragon Quest XI: Echoes of an Elusive Age,PS4,9/4/2018
Immortal: Unchained,"PS4, Xbox One, PC",9/7/2018
NBA Live 19,"PS4, Xbox One",9/7/2018
SNK Heroines: Tag Team Frenzy,"PS4, Switch",9/7/2018
Spider-Man,PS4,9/7/2018
NBA 2K19,"PS4, Xbox One, PC, Switch",9/11/2018
Shadow of the Tomb Raider,"PS4, Xbox One, PC",9/14/2018
Spyro Reignited Trilogy,"PS4, Xbox One",9/21/2018
Xenoblade Chronicles 2: Torna The Golden Country DLC,Switch,9/21/2018
Valkyria Chronicles 4,"PS4, Xbox One, PC, Switch",9/25/2018
Code Vein,"PS4, Xbox One, PC",9/28/2018
FIFA 19,"PS4, PS3, Xbox One, Xbox 360, Switch, PC",9/28/2018
Forza Horizon 4,"Xbox One, PC",10/2/2018
Fist of the North Star: Lost Paradise,PS4,10/2/2018
Mega Man 11,"PS4, Xbox One, Switch, PC",10/2/2018
Assassin's Creed Odyssey,"PS4, Xbox One, PC",10/5/2018
Super Mario Party,Switch,10/5/2018
Disgaea 1 Complete,"PS4, Switch",10/9/2018
WWE 2K19,"PS4, Xbox One, Switch, PC",10/9/2018
Call of Duty: Black Ops 4,"PS4, Xbox One, PC",10/12/2018
Lego DC Super Villains,"PS4, Xbox One, PC, Switch",10/16/2018
Starlink: Battle for Atlas,"PS4, Xbox One, Switch",10/16/2018
Warriors Orochi 4,"PS4, Xbox One, Switch, PC",10/16/2018
Battlefield V,"PS4, Xbox One, PC",10/19/2018
Soulcalibur VI,"PS4, Xbox One, PC",10/19/2018
Just Dance 2019,"PS4, Xbox One, Switch",10/23/2018
Red Dead Redemption 2,"PS4, Xbox One",10/26/2018
Overkill's The Walking Dead,"PS4, Xbox One, PC",11/6/2018
Ride 3,"PS4, Xbox One, PC",11/8/2018
Hitman 2,"PS4, Xbox One, PC",11/13/2018
Fallout 76,"PS4, Xbox One, PC",11/14/2018
Pokemon - Let's Go Pikachu,Switch,11/16/2018
Pokemon - Let's Go Eevee,Switch,11/16/2018
Just Cause 4,"PS4, Xbox One, PC",12/4/2018
Super Smash Bros. Ultimate,Switch,12/7/2018
